,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,top_topic_lda
0,0.0037161285261034503,0.0037161284213775127,0.00371613027916248,0.003716134093926911,0.55211910459507,0.0037161305370104307,0.003716130592501131,0.003716166471562112,0.003716128879672396,0.003716128455592228,0.3995711578483387,0.003716128389176472,0.0037161290559673448,0.0037161419823186115,0.0037161318722204063,4
1,0.0034690058886032308,0.6259540416588141,0.003467430810405642,0.3289535687597054,0.003475921284753153,0.003467432680085777,0.003467430920908884,0.0034675872944818662,0.003467757301815031,0.003467437477107433,0.003468598132844087,0.0034674303286591386,0.0034674332439597346,0.0034714172058198925,0.003467507012036716,1
2,0.959571098750222,0.00288850927388646,0.002887114478802233,0.0028871180108702792,0.002887120450376442,0.0028871152332781867,0.0028871527859009928,0.0028871188195792007,0.0028872029191398365,0.002888073621715062,0.0028878771480847503,0.0028871146785810525,0.0028871237610324702,0.0028927850375195592,0.0028874750310118164,0
3,0.002043162393605621,0.0020431453763422426,0.08012733957853253,0.002043140764966585,0.8933113394401163,0.0020435518384801193,0.002043157008044748,0.002043140350628373,0.002043140434740643,0.002043140352582005,0.002043170722008139,0.0020431404543480272,0.0020431404236019154,0.0020431486521373197,0.0020431422098652193,4
4,0.0030009183405813986,0.003001028465613231,0.00300092142267466,0.0030009189575140502,0.0030009187367257256,0.003000918507667267,0.0030009183709369114,0.0030009188071911607,0.003000919659415518,0.0030009188231737488,0.8423984190593822,0.0030009182651089274,0.0030009186078890577,0.0030009193486487964,0.11858952462747736,10
5,0.0026572079190865057,0.8362354924544826,0.0026572073939616584,0.002657255524424629,0.002657283056871393,0.0026573103004423762,0.0026572657344580107,0.0026573036767569293,0.002657493328794662,0.0026572072688749275,0.010109809884242007,0.002657207434769441,0.0026572083065870586,0.0026572335194648107,0.121767514196783,1
6,0.24168264163320471,0.0031234895535770767,0.0031232083974894647,0.00312325685155037,0.0031232569745541262,0.0031232253764801143,0.0031232079269129676,0.16498860928618567,0.5558494830549244,0.0031232117173232684,0.0031232627108519883,0.0031232079146217566,0.0031232108009429478,0.003123210800045367,0.003123517001335938,8
7,0.0033680417680113754,0.0033680392395069106,0.003368038390354578,0.0033680561945477216,0.0033680401299683903,0.003368038403072641,0.0033680383992580527,0.0033680388549856143,0.0033680390373066957,0.0033680386230729407,0.7991564541808303,0.003368042408105487,0.0033680385882345104,0.0033680392904618345,0.15705901649228327,10
8,0.002971258392197802,0.0029712524547103134,0.5502894003775182,0.11026717521617314,0.002971284752055672,0.002971252631051399,0.0029712528389518283,0.002971290531297436,0.002971306131963701,0.002971252356904663,0.002971917879487941,0.002971253506967273,0.002971252956793385,0.002971266881279917,0.30378758309264753,2
9,0.0034583574879773716,0.0034583567813116747,0.0034583601577317493,0.0034583957565588607,0.0034583590437135933,0.0034583760587997983,0.0034584520100667563,0.0034583578864168913,0.0034594834371685676,0.003458357075607163,0.29836738009075503,0.0034583568187253077,0.48357293995826894,0.003458357163787349,0.17655811027311089,12
10,0.002992151491761176,0.0029921034120884552,0.00299210858452619,0.002992574092939599,0.0029921087806494286,0.002992109099122153,0.0029921032768219858,0.0029923948906240895,0.0029921604427336043,0.0029921045963325304,0.3054268058809891,0.0029921029793956253,0.5296269001114339,0.0029922817890897994,0.1290399905714924,12
11,0.002954918431723481,0.0029549182926530476,0.002954918361502148,0.0029549206789392566,0.0029549193048410425,0.002954921054079498,0.0029549231263212255,0.0029549184827309736,0.9586300803544614,0.0029549185076663356,0.0029550850224487396,0.002954918312469354,0.002954918922005843,0.0029557973437606996,0.0029549238043970324,8
12,0.0022321922205696255,0.0022321933798017455,0.002232192397593575,0.002232195237940896,0.002232192164061552,0.23392794619412907,0.002232192487375206,0.0022322008394142934,0.002232460291954803,0.0022321927413497824,0.002233523205254571,0.002232193269415522,0.0022321933144691416,0.00223248719158372,0.7370516450650866,14
13,0.002992250199689217,0.0029921626848998764,0.0029921624378203425,0.002992339784107004,0.002992405620217919,0.002992420603107416,0.002992162845993041,0.0029922000377537684,0.002993880883630303,0.002992188061488651,0.945626671931119,0.0029921624361862785,0.0029921682892778477,0.015470780369704817,0.002994043815004521,10
14,0.0034332191345007846,0.003432606988443268,0.0034325957754852434,0.2711551996044879,0.0034329078047137954,0.0034325931279563433,0.0034325881911757136,0.003432708081906378,0.01485776683097395,0.6727901034207113,0.003435052065439938,0.00343258786314582,0.003432609447853129,0.003434795426946494,0.003432666236259958,9
15,0.00356903616496644,0.003569029044025009,0.3653099247195312,0.003569030677650126,0.23368130141580132,0.0035690297372936767,0.003569028995603171,0.0035690300672568324,0.00356916267040118,0.0035690294847399023,0.3581801724145259,0.0035690311915930876,0.003569031281567738,0.0035691309299218737,0.003569031205122472,2
16,0.002788249202916173,0.0027882463159160063,0.0027882444081728493,0.0027898028331012972,0.002788252989857388,0.002788389712449426,0.002788307312737037,0.002788260686638007,0.9609609818473953,0.002788249459946715,0.0027885898157637198,0.002788244736107215,0.0027882887348245136,0.0027883435715325817,0.0027895483726418395,8
17,0.0026195828145306557,0.0026195894780466035,0.0026197656030538976,0.0026195838911625816,0.002619584880253975,0.0026195990678171415,0.0026195825660557787,0.0026196105206829795,0.002619602784060593,0.002619583293091707,0.8590085215943979,0.0026195825576856313,0.002619582654142484,0.0026195981181876475,0.1069366301768305,10
18,0.0035828341275214457,0.0035828338473667324,0.0035828337239707155,0.5305512661260674,0.4228718006126411,0.00358283366128498,0.003582833720411511,0.00358283369564473,0.0035829038652971748,0.003582833943877413,0.0035828528713410064,0.003582833652230163,0.0035828336281861274,0.0035828370720573195,0.00358283545210222,3
