coefficients,p_values,output_title
0.023504748358193165,0.26399435160609197,abanca * avg
-0.04101420140113099,1.10824489915925e-05,n26 * avg
0.01022442520663536,0.4510408401379883,banc sabadell * avg
0.16484098685518256,2.7220611794073423e-05,revolut * avg
0.0271209438390182,0.05578450808331996,santander * avg
