bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,4.0,0,0,300€,0%,1
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,4.0,1,0,300€,0%,1
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,8.0,0,1,300€,0%,1
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,0,0,300€,0%,3
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,1,0,300€,0%,3
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,0,1,300€,0%,3
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,0,0,300€,0%,1
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,1,0,300€,0%,1
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,0,1,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,0,0,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,1,0,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,0,1,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,0,0,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,1,0,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,0,1,300€,0%,1
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,4.0,0,0,300€,0%,1
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,7.0,1,0,300€,0%,1
abanca,2023-08-01,90688.23604806988,5946,72148000000,690,13,1,0,0.0683760717511177,7.0,0,1,300€,0%,1
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.06373937427997589,7.0,0,0,300€,0%,0
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.06373937427997589,7.0,1,0,300€,0%,0
abanca,2023-09-01,69082.3884196847,5946,72148000000,690,13,1,0,0.06373937427997589,7.0,0,1,300€,0%,0
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,7.0,0,0,300€,0%,1
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,7.0,1,0,300€,0%,1
abanca,2023-10-01,75669.22931640742,5946,72148000000,690,13,1,0,0.072727270424366,7.0,0,1,300€,0%,1
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.06722689419984818,5.470588235294118,0,0,300€,0%,1
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.06722689419984818,3.0,1,0,300€,0%,1
abanca,2023-11-01,60025.43195222091,5946,72148000000,690,13,1,0,0.06722689419984818,3.0,0,1,300€,0%,1
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.08940397202968597,5.354838709677419,0,0,300€,2%,0
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.08940397202968597,3.0,1,0,300€,2%,0
abanca,2023-12-01,57677.13303408881,5946,72148000000,690,13,1,0,0.08940397202968597,3.0,0,1,300€,2%,0
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,0,0,300€,2%,2
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,1,0,300€,2%,2
n26,2021-12-01,6664.368910778517,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,0,1,300€,2%,2
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,0,0,300€,2%,2
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,1,0,300€,2%,2
n26,2021-12-01,15239.190071293438,1500,8000000000,0,11,0,0,0.0672043040394783,7.0,0,1,300€,2%,2
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,0,0,300€,2%,2
n26,2022-01-01,5310.17735954677,1500,8000000000,0,11,0,0,0.07872340083122253,7.0,1,0,300€,2%,2
