bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
n26,2022-10-01,7832.405722330861,0.042500000447034836,1.0,8.5,300.0,2.0,1.0,10178.388410919346,1141.9902521459246
n26,2022-11-01,8572.818387313528,0.05797101557254791,1.0,7.5,300.0,2.0,0.0,8826.008927641247,707.1244496658953
n26,2022-12-01,7645.0147457065505,0.06012658402323723,1.0,7.5,300.0,2.0,3.0,8831.889619340654,777.8101246832846
n26,2023-01-01,6712.4354152455835,0.05986696109175682,1.0,8.5,300.0,2.0,3.0,7999.716719231561,690.3062532299981
n26,2023-02-01,7039.850788768473,0.04273504391312599,1.0,8.5,300.0,2.0,2.0,8025.449074947892,753.8053328838234
n26,2023-03-01,6817.5966508382935,0.041806019842624664,1.0,8.0,300.0,2.0,1.0,8248.840896250036,989.2827784205641
n26,2023-04-01,7107.17316340107,0.04216867312788963,1.0,8.0,300.0,2.0,2.0,7162.174535232436,941.0918324199438
n26,2023-05-01,5993.323194239624,0.04915730282664299,1.25,8.0,300.0,2.0,4.0,9550.672773515082,650.1265911502105
n26,2023-06-01,7893.129247367377,0.05862646549940109,1.25,8.0,300.0,2.0,2.0,10507.635124133263,984.7495828692822
n26,2023-07-01,12885.468058874414,0.08361203968524933,1.8,8.0,300.0,2.0,1.0,9248.42408262981,7687.278517963509
n26,2023-08-01,10296.802923963234,0.06932409107685089,1.75,7.333333333333333,300.0,2.0,1.0,10409.372166201909,6547.080059803155
n26,2023-09-01,7169.720774033066,0.05336426943540573,1.75,7.333333333333333,300.0,2.0,0.0,10249.183505999526,4446.375742457525
n26,2023-10-01,7557.701474886539,0.0589473694562912,1.4,7.333333333333333,300.0,2.0,5.0,13492.002402603386,4728.216081192128
n26,2023-11-01,7283.357648840578,0.0760233923792839,1.25,7.5,300.0,2.0,2.0,12592.086214677875,3124.1367763924095
n26,2023-12-01,9134.004504894856,0.092261902987957,1.4,7.5,300.0,2.0,1.0,15832.392131755714,4962.2240865648455
banc sabadell,2021-12-01,20016.55381203212,0.07022900879383087,33.75,2.0,0.0,0.0,0.0,28646.565818547562,3531.887950030661
banc sabadell,2022-01-01,20016.55381203212,0.08460471779108047,33.6,2.0,0.0,0.0,0.0,28646.565818547562,3531.887950030661
banc sabadell,2022-02-01,20016.55381203212,0.05962059646844864,30.25,2.0,0.0,0.0,0.0,28646.565818547562,3531.887950030661
banc sabadell,2022-03-01,20016.55381203212,0.0676506757736206,29.5,2.0,0.0,0.0,0.0,28646.565818547562,3531.887950030661
banc sabadell,2022-04-01,20016.55381203212,0.06400742381811142,28.5,2.0,0.0,0.0,0.0,15164.009473510854,24513.793082179378
banc sabadell,2022-05-01,12267.129452972538,0.06560846418142319,31.2,3.0,0.0,0.0,0.0,40095.38557142203,13540.73751686679
banc sabadell,2022-06-01,27765.9781710917,0.06561680138111115,33.0,2.0,0.0,0.0,0.0,40931.03470219372,30365.745602955038
banc sabadell,2022-07-01,33651.426645391424,0.0767807587981224,34.0,2.0,0.0,0.0,0.0,52171.131010740704,85384.87840491951
banc sabadell,2022-08-01,36382.54241811369,0.07910271733999252,27.0,4.0,50.0,1.0,0.0,59256.63736782057,66222.17165438921
banc sabadell,2022-09-01,40102.3719438098,0.07531760632991791,32.0,4.0,0.0,1.0,0.0,73027.57960867017,72901.95633144323
banc sabadell,2022-10-01,18165.133261740248,0.0710710734128952,29.4,4.0,0.0,1.0,0.0,46447.44926806479,55505.76592432209
banc sabadell,2022-11-01,32183.327434895953,0.07508833706378937,29.25,4.666666666666667,175.0,2.0,0.0,44232.256136254495,55369.95153398885
banc sabadell,2022-12-01,44020.33598295302,0.10226049274206161,27.5,2.6666666666666665,0.0,1.0,0.0,44522.24441339664,51872.233232656174
banc sabadell,2023-01-01,62312.793075368056,0.09244532883167267,31.4,2.0,175.0,2.0,0.0,50084.546606228236,47894.625566161354
banc sabadell,2023-02-01,45136.357494715296,0.08210784196853638,30.0,5.333333333333333,175.0,2.0,0.0,46478.719845520114,40418.506801536554
banc sabadell,2023-03-01,45176.84391601955,0.0793522298336029,31.25,3.6666666666666665,175.0,2.0,0.0,49804.9161155716,26828.20810243961
banc sabadell,2023-04-01,31605.25034550236,0.0813528299331665,29.0,3.6666666666666665,250.0,2.0,0.0,42570.595216657886,22211.466881656903
banc sabadell,2023-05-01,40352.96900686287,0.07748538255691528,27.5,3.6666666666666665,200.0,2.5,0.0,47262.147358711234,48023.2032013731
banc sabadell,2023-06-01,35514.73489812541,0.08195211738348007,29.25,3.6666666666666665,200.0,2.5,0.0,47069.40998707154,38140.957653841346
banc sabadell,2023-07-01,21331.91578388771,0.0917622521519661,30.4,3.3333333333333335,200.0,2.5,0.0,49215.88268668141,26380.825597269446
banc sabadell,2023-08-01,18200.440263664634,0.09285714477300644,22.0,3.3333333333333335,200.0,2.5,0.0,41590.13260614725,43906.854074249524
banc sabadell,2023-09-01,11592.195403930802,0.08618784695863724,25.0,3.3333333333333335,200.0,2.5,0.0,43232.995758527235,24293.912869526328
banc sabadell,2023-10-01,15965.007608487931,0.09930069744586945,25.6,3.3333333333333335,200.0,2.5,0.0,54026.70009014208,39014.466835411346
banc sabadell,2023-11-01,29518.772024870043,0.0917431190609932,26.75,1.911764705882353,200.0,2.5,0.0,57563.14742788292,68370.87906712484
banc sabadell,2023-12-01,33315.90213484227,0.1413881778717041,25.8,2.129032258064516,200.0,2.5,0.0,47800.42505464887,68151.95883509416
ing,2021-12-01,40358.43257597666,0.12085561454296112,25.5,5.0,200.0,2.5,7.0,27507.516564540772,16416.680637598554
ing,2022-01-01,32371.23346482127,0.12127045542001724,23.625,5.0,200.0,2.5,4.0,13004.826732692549,21963.594534959728
ing,2022-02-01,40358.43257597666,0.09860475361347198,25.5,5.0,200.0,2.5,7.0,27507.516564540772,16416.680637598554
ing,2022-03-01,40358.43257597666,0.12055641412734985,23.625,5.0,200.0,2.5,4.0,13004.826732692549,21963.594534959728
ing,2022-04-01,40358.43257597666,0.1145404651761055,44.875,5.0,200.0,2.5,4.0,16458.980691870016,43277.06247876924
ing,2022-05-01,33487.40605482914,0.1273653507232666,56.75,4.333333333333333,200.0,2.5,6.0,42054.06483562202,28085.10720861572
ing,2022-06-01,33983.086895497014,0.11343523859977722,44.875,2.0,200.0,2.5,4.0,40585.01511112488,19879.320604322755
ing,2022-07-01,22189.247827906474,0.16841179132461548,44.875,1.0,200.0,2.5,4.0,40973.3093044977,23512.820059114605
ing,2022-08-01,29944.644101650792,0.13247396051883698,44.875,1.0,200.0,2.5,4.0,44151.65406252121,31755.5178378076
ing,2022-09-01,50772.22105030252,0.12566237151622772,56.75,1.0,200.0,2.5,7.0,51349.41307961096,26076.351632909653
ing,2022-10-01,37030.16800800749,0.14478011429309845,4.375,1.0,200.0,2.5,5.0,54563.744570325034,21562.34952429013
ing,2022-11-01,26060.153790871776,0.15818364918231964,7.0,2.0,200.0,2.5,2.0,49120.26983012816,24965.46328985672
ing,2022-12-01,27993.221192530156,0.11671335250139236,4.375,6.0,200.0,2.5,5.0,45275.89611705208,22362.446169679595
ing,2023-01-01,27614.885810370062,0.12023217231035233,56.75,4.5,200.0,2.5,8.0,48247.3409737574,32437.09657471228
ing,2023-02-01,26023.707736812856,0.12237761914730072,44.875,4.0,200.0,2.5,4.0,44510.898546419856,27319.03873140525
ing,2023-03-01,20935.685508796298,0.13126115500926971,56.75,6.5,200.0,2.5,12.0,49801.49169973605,32853.36103645209
ing,2023-04-01,17193.952740691508,0.09421397745609283,7.0,6.5,200.0,2.5,2.0,48174.59904844883,40535.81543263885
